"";"codmun";"nome";"uf";"string";"lat";"lon"
"178";1501782;"Breu Branco";"Pará";"Breu Branco, Pará, Brasil";-3,7568177;-49,4681855479374
"179";1501808;"Breves";"Pará";"Breves, Pará, Brasil";-1,6803599;-50,4790849
"180";1501907;"Bujaru";"Pará";"Bujaru, Pará, Brasil";-1,5169238;-48,0410698
"181";1502004;"Cachoeira do Arari";"Pará";"Cachoeira do Arari, Pará, Brasil";-0,8146489;-48,9559855014984
"182";1501956;"Cachoeira do Piriá";"Pará";"Cachoeira do Piriá, Pará, Brasil";-2,00901615;-46,415883629965
"183";1502103;"Cametá";"Pará";"Cametá, Pará, Brasil";-2,2429489;-49,4978849
"184";1502152;"Canaã dos Carajás";"Pará";"Canaã dos Carajás, Pará, Brasil";-6,48189485;-50,0313560932355
"185";1502202;"Capanema";"Pará";"Capanema, Pará, Brasil";-1,1958337;-47,1808298
"186";1502301;"Capitão Poço";"Pará";"Capitão Poço, Pará, Brasil";-1,7447161;-47,0638494
"187";1502400;"Castanhal";"Pará";"Castanhal, Pará, Brasil";-1,292703;-47,9223902
"188";1502509;"Chaves";"Pará";"Chaves, Pará, Brasil";-0,1433584;-49,6534614709982
"189";1502608;"Colares";"Pará";"Colares, Pará, Brasil";-0,9364229;-48,2802539
"190";1502707;"Conceição do Araguaia";"Pará";"Conceição do Araguaia, Pará, Brasil";-8,2696904;-49,2676863
"191";1502756;"Concórdia do Pará";"Pará";"Concórdia do Pará, Pará, Brasil";-1,8811016;-47,9757866175073
"192";1502764;"Cumaru do Norte";"Pará";"Cumaru do Norte, Pará, Brasil";-8,51157315;-51,37112840124
"193";1502772;"Curionópolis";"Pará";"Curionópolis, Pará, Brasil";-6,0990442;-49,6059038
"194";1502806;"Curralinho";"Pará";"Curralinho, Pará, Brasil";-1,8117929;-49,7952269
"195";1502855;"Curuá";"Pará";"Curuá, Pará, Brasil";-1,8877539;-55,1168419
"196";1502905;"Curuçá";"Pará";"Curuçá, Pará, Brasil";-0,7276791;-47,8565679
"197";1502939;"Dom Eliseu";"Pará";"Dom Eliseu, Pará, Brasil";-4,19944245;-47,8245036256768
