codmun;nome;uf;string
1703008;Babaçulândia;Tocantins;Babaçulândia, Tocantins, Brasil
1703057;Bandeirantes do Tocantins;Tocantins;Bandeirantes do Tocantins, Tocantins, Brasil
1703073;Barra do Ouro;Tocantins;Barra do Ouro, Tocantins, Brasil
1703107;Barrolândia;Tocantins;Barrolândia, Tocantins, Brasil
1703206;Bernardo Sayão;Tocantins;Bernardo Sayão, Tocantins, Brasil
1703305;Bom Jesus do Tocantins;Tocantins;Bom Jesus do Tocantins, Tocantins, Brasil
1703602;Brasilândia do Tocantins;Tocantins;Brasilândia do Tocantins, Tocantins, Brasil
1703701;Brejinho de Nazaré;Tocantins;Brejinho de Nazaré, Tocantins, Brasil
1703800;Buriti do Tocantins;Tocantins;Buriti do Tocantins, Tocantins, Brasil
1703826;Cachoeirinha;Tocantins;Cachoeirinha, Tocantins, Brasil
1703842;Campos Lindos;Tocantins;Campos Lindos, Tocantins, Brasil
1703867;Cariri do Tocantins;Tocantins;Cariri do Tocantins, Tocantins, Brasil
1703883;Carmolândia;Tocantins;Carmolândia, Tocantins, Brasil
1703891;Carrasco Bonito;Tocantins;Carrasco Bonito, Tocantins, Brasil
1703909;Caseara;Tocantins;Caseara, Tocantins, Brasil
1704105;Centenário;Tocantins;Centenário, Tocantins, Brasil
1705102;Chapada da Natividade;Tocantins;Chapada da Natividade, Tocantins, Brasil
1704600;Chapada de Areia;Tocantins;Chapada de Areia, Tocantins, Brasil
1705508;Colinas do Tocantins;Tocantins;Colinas do Tocantins, Tocantins, Brasil
1716703;Colméia;Tocantins;Colméia, Tocantins, Brasil
1705557;Combinado;Tocantins;Combinado, Tocantins, Brasil
1705607;Conceição do Tocantins;Tocantins;Conceição do Tocantins, Tocantins, Brasil
1706001;Couto Magalhães;Tocantins;Couto Magalhães, Tocantins, Brasil
1706100;Cristalândia;Tocantins;Cristalândia, Tocantins, Brasil
1706258;Crixás do Tocantins;Tocantins;Crixás do Tocantins, Tocantins, Brasil
1706506;Darcinópolis;Tocantins;Darcinópolis, Tocantins, Brasil
1707009;Dianópolis;Tocantins;Dianópolis, Tocantins, Brasil
1707108;Divinópolis do Tocantins;Tocantins;Divinópolis do Tocantins, Tocantins, Brasil
1707207;Dois Irmãos do Tocantins;Tocantins;Dois Irmãos do Tocantins, Tocantins, Brasil
1707306;Dueré;Tocantins;Dueré, Tocantins, Brasil
1707405;Esperantina;Tocantins;Esperantina, Tocantins, Brasil
1707553;Fátima;Tocantins;Fátima, Tocantins, Brasil
1707652;Figueirópolis;Tocantins;Figueirópolis, Tocantins, Brasil
1707702;Filadélfia;Tocantins;Filadélfia, Tocantins, Brasil
1708205;Formoso do Araguaia;Tocantins;Formoso do Araguaia, Tocantins, Brasil
1708254;Fortaleza do Tabocão;Tocantins;Fortaleza do Tabocão, Tocantins, Brasil
1708304;Goianorte;Tocantins;Goianorte, Tocantins, Brasil
1709005;Goiatins;Tocantins;Goiatins, Tocantins, Brasil
1709302;Guaraí;Tocantins;Guaraí, Tocantins, Brasil
1709500;Gurupi;Tocantins;Gurupi, Tocantins, Brasil
1709807;Ipueiras;Tocantins;Ipueiras, Tocantins, Brasil
1710508;Itacajá;Tocantins;Itacajá, Tocantins, Brasil
